Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Lista_deseos,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida,Vol(ml)_num,Precio/ml
Ultraviolet EDP,Rabanne,Perfumes de Mujer,Mujer,4.91,34,80,53.94,818,EDP,Vaporizador,Oriental Floral,"Jazmín, Violeta, Rosa, Osmanto","Vainilla, Cedro, Pachulí, Ámbar","Cilantro, Palo de Rosa, Pimienta, Almendra, Chabacano, Pimiento Rojo, Chile",80.0,0.67425
Cacharel Hombre,Cacharel,Colonias para hombres,Hombres,4.56,25,100,45.94,,EDT,Vaporizador,Amaderada Especiada,"Jazmín, Lirio, Geranio, Clavel, Ylang Ylang, Ciclamen","Cedro, Almizcle, Ámbar, Vetiver, Sándalo, Musgo de Roble, Abeto","Bergamota, Lavanda, Nuez Moscada, Salvia",100.0,0.4594
Ultraviolet EDP,Rabanne,Perfumes de Mujer,Mujer,4.91,34,80,53.94,818,EDP,Vaporizador,Oriental Floral,"Jazmín, Violeta, Rosa, Osmanto","Vainilla, Cedro, Pachulí, Ámbar","Cilantro, Palo de Rosa, Pimienta, Almendra, Chabacano, Pimiento Rojo, Chile",80.0,0.67425
The One For Men Eau de Parfum,Dolce & Gabbana,Perfumes para hombres,Hombres,4.63,19,50,47.23,2000,EDP,Vaporizador,Amaderada,"Jengibre, Flor de Azahar, Cardamomo","Cedro, Ámbar, Tabaco","Toronja, Albahaca, Cilantro",50.0,0.9445999999999999
The One For Men Eau de Parfum,Dolce & Gabbana,Perfumes para hombres,Hombres,4.63,19,100,74.99,2000,EDP,Vaporizador,Amaderada,"Jengibre, Flor de Azahar, Cardamomo","Cedro, Ámbar, Tabaco","Toronja, Albahaca, Cilantro",100.0,0.7498999999999999
The One For Men Eau de Parfum,Dolce & Gabbana,Perfumes para hombres,Hombres,4.63,19,150,92.95,2000,EDP,Vaporizador,Amaderada,"Jengibre, Flor de Azahar, Cardamomo","Cedro, Ámbar, Tabaco","Toronja, Albahaca, Cilantro",150.0,0.6196666666666667
Cabotine Rose EDT,Gres,Perfumes de Mujer,Mujer,4.79,48,100,9.95,,EDT,Vaporizador,Floral afrutada,"Azucena, Peonía, Jazmín, Flor de Azahar, Rosa, Pimienta, Mimosa, Nardos","Almizcle, Vetiver, Sándalo","Mandarina, Grosella Negra, Flor de Cerezo",100.0,0.09949999999999999
Estuche Hombre EDT + After Shave + Gel de Baño + DEO,Don Algodón,Cofres de perfumes para hombre,Hombres,,,EDT 100 ml + Aftershave 75 ml + Gel de Baño y Ducha 75 ml + DEO 150 ml,15.95,,EDT,Pack de productos / Set / Cofre,Fougère Amaderada,"Jazmín, Lavanda","Almizcle, Ámbar","Bergamota, Lima",,
Solo Loewe Ella EDP,Loewe,Perfumes de Mujer,Mujer,4.92,13,30,45.95,2000,EDP,Vaporizador,Floral,"Rosa de Damasco, Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Ámbar, Cedro de Virginia, Madera Blanca","Naranja Amarga, Pera, Manzana, Durazno",30.0,1.5316666666666667
Solo Loewe Ella EDP,Loewe,Perfumes de Mujer,Mujer,4.92,13,50,64.95,2000,EDP,Vaporizador,Floral,"Rosa de Damasco, Jazmín Sambac, Heliotropo, Té Verde, Violeta, Flor de Azahar","Ámbar, Cedro de Virginia, Madera Blanca","Naranja Amarga, Pera, Manzana, Durazno",50.0,1.2990000000000002
